2026-07-24 11:59:47,322 | INFO     | strategy_heartbeat.test_strategy.test_server | Heartbeat agent started for test_strategy on test_server
2026-07-24 11:59:49,826 | INFO     | strategy_heartbeat.test_strategy.test_server | Heartbeat agent stopped for test_strategy on test_server
2026-07-24 11:59:49,845 | INFO     | strategy_heartbeat.offline_strategy.test_server | Heartbeat agent started for offline_strategy on test_server
2026-07-24 11:59:49,848 | ERROR    | strategy_heartbeat.offline_strategy.test_server | Heartbeat send failed (attempt 1/1): HTTPConnectionPool(host='127.0.0.1', port=8998): Max retries exceeded with url: /update_strategy (Caused by NewConnectionError("HTTPConnection(host='127.0.0.1', port=8998): Failed to establish a new connection: [Errno 61] Connection refused"))
2026-07-24 11:59:49,848 | ERROR    | strategy_heartbeat.offline_strategy.test_server | All heartbeat retries failed for offline_strategy
2026-07-24 11:59:50,856 | ERROR    | strategy_heartbeat.offline_strategy.test_server | Heartbeat send failed (attempt 1/1): HTTPConnectionPool(host='127.0.0.1', port=8998): Max retries exceeded with url: /update_strategy (Caused by NewConnectionError("HTTPConnection(host='127.0.0.1', port=8998): Failed to establish a new connection: [Errno 61] Connection refused"))
2026-07-24 11:59:50,857 | ERROR    | strategy_heartbeat.offline_strategy.test_server | All heartbeat retries failed for offline_strategy
2026-07-24 11:59:51,851 | INFO     | strategy_heartbeat.offline_strategy.test_server | Heartbeat agent stopped for offline_strategy on test_server
2026-07-25 10:11:12,682 | INFO     | strategy_heartbeat.sample_mean_reversion.ec2-ap-south-1a-i-01 | Heartbeat agent started for sample_mean_reversion on ec2-ap-south-1a-i-01
2026-07-25 10:11:14,693 | ERROR    | strategy_heartbeat.sample_mean_reversion.ec2-ap-south-1a-i-01 | Heartbeat send failed (attempt 1/3): HTTPConnectionPool(host='127.0.0.1', port=8000): Max retries exceeded with url: /update_strategy (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x000001E98D2A4980>: Failed to establish a new connection: [WinError 10061] No connection could be made because the target machine actively refused it'))
2026-07-25 10:11:18,711 | ERROR    | strategy_heartbeat.sample_mean_reversion.ec2-ap-south-1a-i-01 | Heartbeat send failed (attempt 2/3): HTTPConnectionPool(host='127.0.0.1', port=8000): Max retries exceeded with url: /update_strategy (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x000001E98D2B4550>: Failed to establish a new connection: [WinError 10061] No connection could be made because the target machine actively refused it'))
2026-07-25 10:11:24,730 | ERROR    | strategy_heartbeat.sample_mean_reversion.ec2-ap-south-1a-i-01 | Heartbeat send failed (attempt 3/3): HTTPConnectionPool(host='127.0.0.1', port=8000): Max retries exceeded with url: /update_strategy (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x000001E98D2B4E10>: Failed to establish a new connection: [WinError 10061] No connection could be made because the target machine actively refused it'))
2026-07-25 10:11:24,730 | ERROR    | strategy_heartbeat.sample_mean_reversion.ec2-ap-south-1a-i-01 | All heartbeat retries failed for sample_mean_reversion
2026-07-25 10:11:56,765 | ERROR    | strategy_heartbeat.sample_mean_reversion.ec2-ap-south-1a-i-01 | Heartbeat send failed (attempt 1/3): HTTPConnectionPool(host='127.0.0.1', port=8000): Max retries exceeded with url: /update_strategy (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x000001E98D2B8770>: Failed to establish a new connection: [WinError 10061] No connection could be made because the target machine actively refused it'))
2026-07-25 10:12:00,781 | ERROR    | strategy_heartbeat.sample_mean_reversion.ec2-ap-south-1a-i-01 | Heartbeat send failed (attempt 2/3): HTTPConnectionPool(host='127.0.0.1', port=8000): Max retries exceeded with url: /update_strategy (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x000001E98D2B8E90>: Failed to establish a new connection: [WinError 10061] No connection could be made because the target machine actively refused it'))
2026-07-25 10:12:06,786 | ERROR    | strategy_heartbeat.sample_mean_reversion.ec2-ap-south-1a-i-01 | Heartbeat send failed (attempt 3/3): HTTPConnectionPool(host='127.0.0.1', port=8000): Max retries exceeded with url: /update_strategy (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x000001E98D20AF90>: Failed to establish a new connection: [WinError 10061] No connection could be made because the target machine actively refused it'))
2026-07-25 10:12:06,786 | ERROR    | strategy_heartbeat.sample_mean_reversion.ec2-ap-south-1a-i-01 | All heartbeat retries failed for sample_mean_reversion
2026-07-25 10:12:38,809 | ERROR    | strategy_heartbeat.sample_mean_reversion.ec2-ap-south-1a-i-01 | Heartbeat send failed (attempt 1/3): HTTPConnectionPool(host='127.0.0.1', port=8000): Max retries exceeded with url: /update_strategy (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x000001E98D269E10>: Failed to establish a new connection: [WinError 10061] No connection could be made because the target machine actively refused it'))
2026-07-25 10:12:42,817 | ERROR    | strategy_heartbeat.sample_mean_reversion.ec2-ap-south-1a-i-01 | Heartbeat send failed (attempt 2/3): HTTPConnectionPool(host='127.0.0.1', port=8000): Max retries exceeded with url: /update_strategy (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x000001E98D2696A0>: Failed to establish a new connection: [WinError 10061] No connection could be made because the target machine actively refused it'))
2026-07-25 10:12:48,831 | ERROR    | strategy_heartbeat.sample_mean_reversion.ec2-ap-south-1a-i-01 | Heartbeat send failed (attempt 3/3): HTTPConnectionPool(host='127.0.0.1', port=8000): Max retries exceeded with url: /update_strategy (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x000001E98D269370>: Failed to establish a new connection: [WinError 10061] No connection could be made because the target machine actively refused it'))
2026-07-25 10:12:48,831 | ERROR    | strategy_heartbeat.sample_mean_reversion.ec2-ap-south-1a-i-01 | All heartbeat retries failed for sample_mean_reversion
2026-07-25 10:13:20,873 | ERROR    | strategy_heartbeat.sample_mean_reversion.ec2-ap-south-1a-i-01 | Heartbeat send failed (attempt 1/3): HTTPConnectionPool(host='127.0.0.1', port=8000): Max retries exceeded with url: /update_strategy (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x000001E98D269150>: Failed to establish a new connection: [WinError 10061] No connection could be made because the target machine actively refused it'))
2026-07-25 10:13:24,886 | ERROR    | strategy_heartbeat.sample_mean_reversion.ec2-ap-south-1a-i-01 | Heartbeat send failed (attempt 2/3): HTTPConnectionPool(host='127.0.0.1', port=8000): Max retries exceeded with url: /update_strategy (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x000001E98D26A7A0>: Failed to establish a new connection: [WinError 10061] No connection could be made because the target machine actively refused it'))
